"商品コード","出荷実績確定日","出荷数","受注番号","出荷区分","出荷ID","届け先名"
"PDC-BP","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"PDC-TQ","2024/10/24","4","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"PDC-YC","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"PMC-BK","2024/10/24","3","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"PMC-CM","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"PMC-TQ","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"RLC-BL","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"RLC-DG","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"SHC-GR","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"SHC-LG","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"SPC-BL","2024/10/24","3","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"SPC-GR","2024/10/24","7","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"SPC-LG","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"SPC-RD","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"SPC-TQ","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"SPC-YL","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"ZNC-RY","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"ZPDC-PB","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"ZPMC-MR","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"ZPMC-SM","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"ZSC-SK","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"ZXC-RY","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LGC-BG","2024/10/24","1","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"LGC-CG","2024/10/24","1","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"LGC-GR","2024/10/24","1","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"MNC-CB","2024/10/24","1","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"MNC-LG","2024/10/24","3","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"MXC-CB","2024/10/24","3","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"PDC-BG","2024/10/24","1","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"PDC-BK","2024/10/24","1","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"PMC-DG","2024/10/24","1","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"SHC-BG","2024/10/24","1","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"SPC-BP","2024/10/24","1","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"SPC-LG","2024/10/24","2","9000013832(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"MXC-BL","2024/10/24","4","9000013833(1)","工場","59940(559)","赤城産業株式会社様"
"MXC-CB","2024/10/24","12","9000013833(1)","工場","59940(559)","赤城産業株式会社様"
"MXC-CM","2024/10/24","3","9000013833(1)","工場","59940(559)","赤城産業株式会社様"
"MNC-BL","2024/10/24","1","9000013834(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"MNC-DG","2024/10/24","1","9000013834(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"MNC-GR","2024/10/24","2","9000013834(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"MNC-OG","2024/10/24","1","9000013834(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"MNC-TQ","2024/10/24","3","9000013834(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"MXC-BL","2024/10/24","2","9000013834(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"MXC-RN","2024/10/24","3","9000013834(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"MXC-YC","2024/10/24","2","9000013834(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"SPC-OG","2024/10/24","1","9000013834(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"MXC-BG","2024/10/24","2","9000013835(1)","工場","59940(559)","藤田株式会社様"
"MXC-BL","2024/10/24","6","9000013835(1)","工場","59940(559)","藤田株式会社様"
"MXC-CB","2024/10/24","3","9000013835(1)","工場","59940(559)","藤田株式会社様"
"MXC-DG","2024/10/24","5","9000013835(1)","工場","59940(559)","藤田株式会社様"
"MXC-GR","2024/10/24","2","9000013835(1)","工場","59940(559)","藤田株式会社様"
"MXC-RD","2024/10/24","2","9000013835(1)","工場","59940(559)","藤田株式会社様"
"PRE-MXC-BG","2024/10/24","1","9000013836(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-MXC-BP","2024/10/24","1","9000013836(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-MXC-FN","2024/10/24","5","9000013836(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-MXC-LG","2024/10/24","11","9000013836(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-MXC-RN","2024/10/24","2","9000013836(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-MXC-YL","2024/10/24","2","9000013836(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-PMC-BP","2024/10/24","2","9000013836(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-SHC-BG","2024/10/24","1","9000013836(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-SHC-TQ","2024/10/24","3","9000013836(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"LNC-MN","2024/10/24","11","9000013838(1)","工場","59940(559)","山直スチロール株式会社様"
"LNC-MX","2024/10/24","10","9000013838(1)","工場","59940(559)","山直スチロール株式会社様"
"LNC-PS","2024/10/24","5","9000013838(1)","工場","59940(559)","山直スチロール株式会社様"
"LNC-DP","2024/10/24","1","9000013839(1)","工場","59940(559)","株式会社大西コルク工業所様"
"LNC-LG","2024/10/24","7","9000013839(1)","工場","59940(559)","株式会社大西コルク工業所様"
"LNC-MX","2024/10/24","8","9000013839(1)","工場","59940(559)","株式会社大西コルク工業所様"
"LNC-RL","2024/10/24","4","9000013839(1)","工場","59940(559)","株式会社大西コルク工業所様"
"LNC-ST","2024/10/24","5","9000013839(1)","工場","59940(559)","株式会社大西コルク工業所様"
"LNC-PS","2024/10/24","5","9000013839(1)","工場","59940(559)","株式会社大西コルク工業所様"
"LNC-DSBB","2024/10/24","4","9000013840(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"LNC-SP","2024/10/24","22","9000013840(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"LNC-ST","2024/10/24","25","9000013840(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"LNC-PS","2024/10/24","5","9000013840(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"LNC-LG","2024/10/24","5","9000013841(1)","工場","59940(559)","株式会社積水化成品北海道様"
"LNC-SP","2024/10/24","19","9000013841(1)","工場","59940(559)","株式会社積水化成品北海道様"
"LNC-ST","2024/10/24","6","9000013841(1)","工場","59940(559)","株式会社積水化成品北海道様"
"LNC-PS","2024/10/24","5","9000013841(1)","工場","59940(559)","株式会社積水化成品北海道様"
"LNC-MN","2024/10/24","26","9000013842(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"LNC-RL","2024/10/24","12","9000013842(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"LNC-PS","2024/10/24","5","9000013842(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"LNC-DP","2024/10/24","7","9000013843(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (インナー)"
"LNC-MX","2024/10/24","13","9000013843(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (インナー)"
"LNC-PM","2024/10/24","27","9000013843(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (インナー)"
"LNC-RL","2024/10/24","20","9000013843(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (インナー)"
"LNC-ST","2024/10/24","18","9000013843(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (インナー)"
"LNC-PS","2024/10/24","5","9000013843(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (インナー)"
"LNC-MN","2024/10/24","15","9000013844(1)","工場","59940(559)","小島工業株式会社様"
"LNC-MX","2024/10/24","5","9000013844(1)","工場","59940(559)","小島工業株式会社様"
"LNC-PM","2024/10/24","19","9000013844(1)","工場","59940(559)","小島工業株式会社様"
"LNC-RL","2024/10/24","3","9000013844(1)","工場","59940(559)","小島工業株式会社様"
"LNC-SP","2024/10/24","10","9000013844(1)","工場","59940(559)","小島工業株式会社様"
"LNC-PS","2024/10/24","5","9000013844(1)","工場","59940(559)","小島工業株式会社様"
"LNC-CP","2024/10/24","3","9000013845(1)","工場","59940(559)","株式会社積水化成品沖縄様"
"LNC-DP","2024/10/24","2","9000013845(1)","工場","59940(559)","株式会社積水化成品沖縄様"
"LNC-PM","2024/10/24","4","9000013845(1)","工場","59940(559)","株式会社積水化成品沖縄様"
"LNC-SP","2024/10/24","8","9000013845(1)","工場","59940(559)","株式会社積水化成品沖縄様"
"LNC-PS","2024/10/24","5","9000013845(1)","工場","59940(559)","株式会社積水化成品沖縄様"
"LNC-LG","2024/10/24","16","9000013846(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LNC-MX","2024/10/24","19","9000013846(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LNC-OM","2024/10/24","5","9000013846(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LNC-PM","2024/10/24","29","9000013846(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LNC-RL","2024/10/24","7","9000013846(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LNC-SP","2024/10/24","39","9000013846(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LNC-PS","2024/10/24","5","9000013846(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LNC-RL","2024/10/24","4","9000013847(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"LNC-ST","2024/10/24","5","9000013847(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"LNC-PS","2024/10/24","5","9000013847(1)","工場","59940(559)","NK化成株式会社 長砂工場様"
"LNC-MX","2024/10/24","5","9000013848(1)","工場","59940(559)","株式会社アステックコーポレーション様"
"LNC-SP","2024/10/24","6","9000013848(1)","工場","59940(559)","株式会社アステックコーポレーション様"
"LNC-ST","2024/10/24","3","9000013848(1)","工場","59940(559)","株式会社アステックコーポレーション様"
"LNC-PS","2024/10/24","5","9000013848(1)","工場","59940(559)","株式会社アステックコーポレーション様"
"LNC-LG","2024/10/24","5","9000013849(1)","工場","59940(559)","株式会社積水化成品西部 三原工場様"
"LNC-MX","2024/10/24","9","9000013849(1)","工場","59940(559)","株式会社積水化成品西部 三原工場様"
"LNC-PM","2024/10/24","5","9000013849(1)","工場","59940(559)","株式会社積水化成品西部 三原工場様"
"LNC-SP","2024/10/24","16","9000013849(1)","工場","59940(559)","株式会社積水化成品西部 三原工場様"
"LNC-PS","2024/10/24","5","9000013849(1)","工場","59940(559)","株式会社積水化成品西部 三原工場様"
"LNC-MX","2024/10/24","3","9000013850(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"LNC-RL","2024/10/24","5","9000013850(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"LNC-PS","2024/10/24","5","9000013850(1)","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"LNC-SP","2024/10/24","15","9000013851(1)","工場","59940(559)","大西化成株式会社 熊本工場様"
"LNC-PS","2024/10/24","5","9000013851(1)","工場","59940(559)","大西化成株式会社 熊本工場様"
"LNC-LG","2024/10/24","5","9000013852(1)","工場","59940(559)","株式会社メナック様"
"LNC-MX","2024/10/24","8","9000013852(1)","工場","59940(559)","株式会社メナック様"
"LNC-SP","2024/10/24","10","9000013852(1)","工場","59940(559)","株式会社メナック様"
"LNC-PS","2024/10/24","5","9000013852(1)","工場","59940(559)","株式会社メナック様"
"LNC-MX","2024/10/24","5","9000013853(1)","工場","59940(559)","スチロ化学工業株式会社様"
"LNC-PM","2024/10/24","5","9000013853(1)","工場","59940(559)","スチロ化学工業株式会社様"
"LNC-RL","2024/10/24","7","9000013853(1)","工場","59940(559)","スチロ化学工業株式会社様"
"LNC-PS","2024/10/24","5","9000013853(1)","工場","59940(559)","スチロ化学工業株式会社様"
"LNC-MN","2024/10/24","14","9000013854(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"LNC-OM","2024/10/24","10","9000013854(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"LNC-SP","2024/10/24","31","9000013854(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"LNC-PS","2024/10/24","10","9000013854(1)","工場","59940(559)","カネカフォームプラスチック真岡工場様"
