"商品コード","出荷実績確定日","出荷数","受注番号","出荷区分","出荷ID","届け先名"
"MXC-LG","2024/10/24","4","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"MXC-RD","2024/10/24","5","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"PDC-CB","2024/10/24","3","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"PDC-RD","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"PDC-TQ","2024/10/24","2","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"PMC-GR","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"PMC-YL","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"RLC-BK","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"RLC-DG","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"SHC-BK","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"SHC-DG","2024/10/24","2","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"SPC-BG","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"SPC-BL","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"SPC-OG","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"ZNC-CT","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"ZPMC-CT","2024/10/24","1","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"DPC-RN","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"LUX-LGC-WT","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"LUX-OMC-WT","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"LUX-SHC-WT","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MNC-BL","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MNC-CR","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MNC-DG","2024/10/24","4","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MNC-FM","2024/10/24","5","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MNC-LG","2024/10/24","5","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MNC-LV","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MNC-RN","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MXC-CB","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MXC-CM","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MXC-MN","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MXC-RN","2024/10/24","4","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"OMC-PK","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"PDC-BG","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"PDC-CG","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"PMC-BK","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"PMC-FM","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"PMC-LV","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"PMC-MN","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"PMC-OG","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"PMC-TQ","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"RLC-BK","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"RLC-MN","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"RLGC-NT","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"RRLC-BR","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"RRLC-NT","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"RRLC-PT","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"RSC-BR","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"RSHC-PT","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"RXC-NT","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"SHC-DP","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"SHC-FN","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
